Language,Country,Data Release,Code,
English,EN,EN,,
English,EN,EN,30,enEN
English,EN,MT_EN,60,enMT
Arabic,AR,IL_AR,26,arIL
Bulgarian,BG,BG,51,bgBG
Catalan,EG,EG_EG,39,egEG
Croatian,HR,HR,47,hrHR
Czech,CZ,CZ,28,czCZ
Danish,DK,DK,18,dkDK
Dutch,NL,NL,14,nlNL
Estonian,EE,EE_EE,36,eeEE
Finnish,FI,FI_FI,55,fiFI
Flemish,NL,BE_NL,24,nlBE
French,FR,FR,17,frFR
French,FR,CH_FR,21,frCH
French,FR,BE_FR,23,frBE
French,FR,LU_FR,41,frLU
German,AT,AT,11,deAT
German,DE,DE,12,deDE
German,DE,CH_DE,20,deCH
German,DE,LU_DE,42,deLU
Greek,GR,GR,19,grGR
Greek,GR,GR_CY,53,grCY
Hebrew,HE,IL_HE,25,heIL
Hungarian,HU,HU,32,huHU
Italian,IT,IT,16,itIT
Italian,IT,CH_IT,22,itCH
Latvian,LV,LV_LV,57,lvLV
Lithuanian,LT,LT,48,ltLT
Maltese,MT,MT_MT,59,mtMT
Polish,PL,PL,29,plPL
Portuguese,PT,PT,33,ptPT
Portuguese,PT,LU_PT,43,ptLU
Romanian,RO,RO,61,roRO
Russian,RU,IL_RU,27,ruIL
Russian,RU,LV_RU,58,ruLV
Russian,RU,EE_RU,37,ruEE
Slovak,SK,SK,63,skSK
Slovenian,SI,SI,34,siSI
Spanish,ES,ES,15,esES
Spanish,ES,EG_ES,40,esEG
Swedish,SE,SE,13,seSE
Swedish,SE,FI_SE,56,seFI
